table,domain,path,line
o_goto_organizer,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,2113
o_goto_meeting,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,2132
o_goto_registrant,在线会议集成,src/main/resources/database/postgresql/setupDatabase.sql,2150
o_vid_transcoding,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2163
o_vid_metadata,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2178
o_vid_to_organisation,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2194
o_vid_task_session,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2203
o_vid_task_selection,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2225
o_cal_use_config,日历,src/main/resources/database/postgresql/setupDatabase.sql,2239
o_cal_import,日历,src/main/resources/database/postgresql/setupDatabase.sql,2254
o_cal_import_to,日历,src/main/resources/database/postgresql/setupDatabase.sql,2267
o_im_message,即时消息,src/main/resources/database/postgresql/setupDatabase.sql,2279
o_im_notification,即时消息,src/main/resources/database/postgresql/setupDatabase.sql,2296
o_im_roster_entry,即时消息,src/main/resources/database/postgresql/setupDatabase.sql,2309
o_im_preferences,即时消息,src/main/resources/database/postgresql/setupDatabase.sql,2327
o_mapper,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2337
o_qti_assessmenttest_session,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2349
o_qti_assessmentitem_session,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2377
o_qti_assessment_response,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2397
o_qti_assessment_marks,测评、作业与成绩,src/main/resources/database/postgresql/setupDatabase.sql,2410
o_practice_resource,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2423
o_practice_global_item_ref,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2436
o_vfs_metadata,文件与VFS,src/main/resources/database/postgresql/setupDatabase.sql,2452
o_vfs_thumbnail,文件与VFS,src/main/resources/database/postgresql/setupDatabase.sql,2500
o_vfs_revision,文件与VFS,src/main/resources/database/postgresql/setupDatabase.sql,2515
o_vfs_statistics,文件与VFS,src/main/resources/database/postgresql/setupDatabase.sql,2546
o_de_access,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2561
o_de_user_info,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,2578
o_pf_binder,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2588
o_pf_section,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2607
o_ce_page,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2624
o_ce_page_body,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2646
o_ce_page_part,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2655
o_media,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2673
o_media_tag,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2701
o_media_to_tax_level,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2709
o_media_to_group,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2717
o_media_version,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2729
o_media_version_metadata,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2746
o_media_log,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2757
o_media_to_page_part,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2767
o_ce_page_reference,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2779
o_pf_category,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2788
o_pf_category_relation,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2795
o_pf_assessment_section,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2804
o_ce_assignment,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2816
o_pf_binder_user_infos,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2841
o_ce_page_user_infos,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2854
o_ce_page_to_tax_competence,作品集与内容编辑,src/main/resources/database/postgresql/setupDatabase.sql,2866
