kind,name,package,path,table
entity,EntityProperty,org.sakaiproject.entitybroker.model,entitybroker/api/src/main/java/org/sakaiproject/entitybroker/model/EntityProperty.java,ENTITY_PROPERTIES
entity,RedirectableEntityProviderMock,org.sakaiproject.entitybroker.mocks,entitybroker/mocks/src/main/java/org/sakaiproject/entitybroker/mocks/RedirectableEntityProviderMock.java,
entity,RedirectDefineableEntityProviderMock,org.sakaiproject.entitybroker.mocks,entitybroker/mocks/src/main/java/org/sakaiproject/entitybroker/mocks/RedirectDefineableEntityProviderMock.java,
entity,RedirectControllableEntityProviderMock,org.sakaiproject.entitybroker.mocks,entitybroker/mocks/src/main/java/org/sakaiproject/entitybroker/mocks/RedirectControllableEntityProviderMock.java,
entity,ActionsEntityProviderMock,org.sakaiproject.entitybroker.mocks,entitybroker/mocks/src/main/java/org/sakaiproject/entitybroker/mocks/ActionsEntityProviderMock.java,
entity,ScormEntityProviderImpl,org.sakaiproject.scorm.entity,scormplayer/scorm-impl/service/src/java/org/sakaiproject/scorm/entity/ScormEntityProviderImpl.java,
entity,UserPrefsEntityProvider,org.sakaiproject.user.tool.entity,user/user-tool-prefs/tool/src/java/org/sakaiproject/user/tool/entity/UserPrefsEntityProvider.java,
entity,CardGameStatItem,org.sakaiproject.cardgame.api.model,card-game/api/src/java/org/sakaiproject/cardgame/api/model/CardGameStatItem.java,CARDGAME_STAT_ITEM
entity,AssignmentEntityProvider,org.sakaiproject.assignment.entityproviders,assignment/tool/src/java/org/sakaiproject/assignment/entityproviders/AssignmentEntityProvider.java,
entity,AssignmentSubmissionSubmitter,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentSubmissionSubmitter.java,ASN_SUBMISSION_SUBMITTER
entity,AssignmentSupplementItemWithAttachment,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentSupplementItemWithAttachment.java,ASN_SUP_ITEM_T
entity,AssignmentModelAnswerItem,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentModelAnswerItem.java,ASN_MA_ITEM_T
entity,PeerAssessmentItem,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/PeerAssessmentItem.java,ASN_PEER_ASSESSMENT_ITEM_T
entity,AssignmentAllPurposeItemAccess,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentAllPurposeItemAccess.java,ASN_AP_ITEM_ACCESS_T
entity,PeerAssessmentAttachment,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/PeerAssessmentAttachment.java,ASN_PEER_ASSESSMENT_ATTACH_T
entity,Assignment,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/Assignment.java,ASN_ASSIGNMENT
entity,AssignmentSubmission,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentSubmission.java,ASN_SUBMISSION
entity,AssignmentSupplementItemAttachment,org.sakaiproject.assignment.api.model,assignment/api/src/java/org/sakaiproject/assignment/api/model/AssignmentSupplementItemAttachment.java,ASN_SUP_ATTACH_T
