table,domain,path,line,source
SAKAI_EVENT_DELAY,日志统计,content/content-impl-providers/impl/src/sql/oracle/sakai_event_delay.sql,5,sql
SST_DETAILED_EVENTS,日志统计,sitestats/schema/db-tables/oracle/useractivity.sql,1,sql
SST_EVENTS,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,1,sql
SST_JOB_RUN,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,2,sql
SST_PREFERENCES,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,3,sql
SST_PRESENCES,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,4,sql
SST_PRESENCE_TOTALS,日志统计,sitestats/sitestats-impl-hib/src/java/org/sakaiproject/sitestats/impl/hbm/SitePresenceTotalImpl.hbm.xml,5,hbm
SST_REPORTS,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,5,sql
SST_RESOURCES,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,6,sql
SST_SERVERSTATS,日志统计,sitestats/sitestats-impl-hib/src/java/org/sakaiproject/sitestats/impl/hbm/ServerStat.hbm.xml,5,hbm
SST_SITEACTIVITY,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,7,sql
SST_SITEVISITS,日志统计,sitestats/schema/db-tables/oracle/sitestats.sql,8,sql
SST_USERSTATS,日志统计,sitestats/sitestats-impl-hib/src/java/org/sakaiproject/sitestats/impl/hbm/UserStat.hbm.xml,4,hbm
ANNOUNCEMENT_CHANNEL,沟通协作,announcement/announcement-impl/impl/src/sql/oracle/sakai_announcement.sql,5,sql
ANNOUNCEMENT_MESSAGE,沟通协作,announcement/announcement-impl/impl/src/sql/oracle/sakai_announcement.sql,21,sql
CALENDAR_CALENDAR,沟通协作,calendar/calendar-impl/impl/src/sql/oracle/sakai_calendar.sql,5,sql
CALENDAR_EVENT,沟通协作,calendar/calendar-impl/impl/src/sql/oracle/sakai_calendar.sql,21,sql
CALENDAR_OPAQUEURL,沟通协作,calendar/calendar-hbm/src/main/resources/org/sakaiproject/calendar/dao/hbm/OpaqueUrl.hbm.xml,5,hbm
CHAT_CHANNEL,沟通协作,chat/chat-impl/impl/src/sql/oracle/sakai_chat.sql,5,sql
CHAT_MESSAGE,沟通协作,chat/chat-impl/impl/src/sql/oracle/sakai_chat.sql,21,sql
MAILARCHIVE_CHANNEL,沟通协作,mailarchive/mailarchive-impl/impl/src/sql/oracle/sakai_mailarchive.sql,5,sql
MAILARCHIVE_MESSAGE,沟通协作,mailarchive/mailarchive-impl/impl/src/sql/oracle/sakai_mailarchive.sql,21,sql
MFR_ACTOR_PERSMISSIONS_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,247,sql
MFR_ANONYMOUS_MAPPING_T,沟通协作,msgcntr/messageforums-hbm/src/java/org/sakaiproject/component/app/messageforums/dao/hibernate/AnonymousMapping.hbm.xml,5,hbm
MFR_AREA_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,139,sql
MFR_ATTACHMENT_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,154,sql
MFR_CONTROL_PERSMISSIONS_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,223,sql
MFR_DATE_RESTRICTIONS_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,266,sql
MFR_EMAIL_NOTIFICATION_T,沟通协作,msgcntr/messageforums-docs/SAK-11740_mysql.sql,1,sql
MFR_HIDDEN_GROUPS_T,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/mfr_conversion_28x-30x.sql,142,sql
MFR_LABEL_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,53,sql
MFR_MEMBERSHIP_ITEM_T,沟通协作,msgcntr/messageforums-docs/updating/mfr_m2-m3_mysq_conversion.sql,48,sql
MFR_MESSAGE_FORUMS_USER_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,252,sql
MFR_MESSAGE_PERSMISSIONS_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,235,sql
MFR_MESSAGE_T,沟通协作,msgcntr/messageforums-app/src/sql/oracle/sakai_messageforums.sql,114,sql
MFR_MOVE_HISTORY_T,沟通协作,msgcntr/messageforums-hbm/src/sql/oracle/mfr_conversion_30x-31x.sql,17,sql
